date,value,flag
Fri Jun 01 2018 09:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 09:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 09:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 09:45:00 GMT-0400 (Eastern Daylight Time),1265,
Fri Jun 01 2018 09:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 10:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 10:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 10:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 10:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 10:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 10:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 10:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 10:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 11:00:00 GMT-0400 (Eastern Daylight Time),2146,
Fri Jun 01 2018 11:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 11:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 11:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 11:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 11:30:00 GMT-0400 (Eastern Daylight Time),1189,
Fri Jun 01 2018 11:45:00 GMT-0400 (Eastern Daylight Time),469,
Fri Jun 01 2018 11:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 12:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 12:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 12:15:00 GMT-0400 (Eastern Daylight Time),1000,
Fri Jun 01 2018 12:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 12:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 12:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 12:45:00 GMT-0400 (Eastern Daylight Time),1093,
Fri Jun 01 2018 12:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 13:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 13:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 13:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 13:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 13:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 13:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 13:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 13:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 14:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 14:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 14:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 14:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 14:30:00 GMT-0400 (Eastern Daylight Time),3153,
Fri Jun 01 2018 14:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 14:45:00 GMT-0400 (Eastern Daylight Time),647,
Fri Jun 01 2018 14:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 15:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 15:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 15:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 15:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 15:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 15:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 15:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 15:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 16:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 16:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 16:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 16:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 16:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 16:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 16:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 16:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 17:00:00 GMT-0400 (Eastern Daylight Time),4007,
Fri Jun 01 2018 17:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 17:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 17:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 17:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 17:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 17:45:00 GMT-0400 (Eastern Daylight Time),1011,
Fri Jun 01 2018 17:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 18:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 18:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 18:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 18:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 18:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 18:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 18:45:00 GMT-0400 (Eastern Daylight Time),1598,
Fri Jun 01 2018 18:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 19:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 19:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 19:15:00 GMT-0400 (Eastern Daylight Time),718,
Fri Jun 01 2018 19:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 19:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 19:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 19:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 19:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 20:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 20:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 20:15:00 GMT-0400 (Eastern Daylight Time),1166,
Fri Jun 01 2018 20:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 20:30:00 GMT-0400 (Eastern Daylight Time),178,
Fri Jun 01 2018 20:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 20:45:00 GMT-0400 (Eastern Daylight Time),364,
Fri Jun 01 2018 20:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 21:00:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 21:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 21:15:00 GMT-0400 (Eastern Daylight Time),443,
Fri Jun 01 2018 21:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 21:30:00 GMT-0400 (Eastern Daylight Time),327,
Fri Jun 01 2018 21:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 21:45:00 GMT-0400 (Eastern Daylight Time),268,
Fri Jun 01 2018 21:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 22:00:00 GMT-0400 (Eastern Daylight Time),258,
Fri Jun 01 2018 22:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 22:15:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 22:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 22:30:00 GMT-0400 (Eastern Daylight Time),407,
Fri Jun 01 2018 22:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 22:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 22:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 23:00:00 GMT-0400 (Eastern Daylight Time),532,
Fri Jun 01 2018 23:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 23:15:00 GMT-0400 (Eastern Daylight Time),319,
Fri Jun 01 2018 23:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 23:30:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 23:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Fri Jun 01 2018 23:45:00 GMT-0400 (Eastern Daylight Time),0,
Fri Jun 01 2018 23:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 00:00:00 GMT-0400 (Eastern Daylight Time),739,
Sat Jun 02 2018 00:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 00:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 00:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 00:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 00:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 00:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 00:45:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 01:00:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 01:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 01:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 01:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 01:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 01:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 01:45:00 GMT-0400 (Eastern Daylight Time),2311,
Sat Jun 02 2018 01:45:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 02:00:00 GMT-0400 (Eastern Daylight Time),208,
Sat Jun 02 2018 02:00:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 02:15:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 02:15:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
Sat Jun 02 2018 02:30:00 GMT-0400 (Eastern Daylight Time),0,
Sat Jun 02 2018 02:30:00 GMT-0400 (Eastern Daylight Time),322.3301518857479,
